ID,SUBJECT,MESSAGE
24,VPN Tunnel Down [ADM 72 - 172.16.0.0/16]: PROBLEM for FW-DC,"[PROBLEM: High]
Host: FW-DC (192.168.200.1)
Name: VPN Tunnel Down [ADM 72 - 172.16.0.0/16]
Event: 40776541, Trigger: 170125
Description: IPsec VPN Tunnel Phase 2 is down, please check!
Problem started at 01:11:21 on 2024.02.19
Problem name: VPN Tunnel Down [ADM 72 - 172.16.0.0/16]
Host: FW-DC
Severity: High
Operational data: 1
Original problem ID: 40776541
"
25,VPN Tunnel Down [ADM 74 - 172.16.0.0/16]: PROBLEM for FW-DC,"[PROBLEM: High]
Host: FW-DC (192.168.200.1)
Name: VPN Tunnel Down [ADM 74 - 172.16.0.0/16]
Event: 40776543, Trigger: 170127
Description: IPsec VPN Tunnel Phase 2 is down, please check!
Problem started at 01:11:21 on 2024.02.19
Problem name: VPN Tunnel Down [ADM 74 - 172.16.0.0/16]
Host: FW-DC
Severity: High
Operational data: 1
Original problem ID: 40776543
"
26,VPN Tunnel Down [ADM 73 - 172.16.0.0/16]: PROBLEM for FW-DC,"[PROBLEM: High]
Host: FW-DC (192.168.200.1)
Name: VPN Tunnel Down [ADM 73 - 172.16.0.0/16]
Event: 40776542, Trigger: 170126
Description: IPsec VPN Tunnel Phase 2 is down, please check!
Problem started at 01:11:21 on 2024.02.19
Problem name: VPN Tunnel Down [ADM 73 - 172.16.0.0/16]
Host: FW-DC
Severity: High
Operational data: 1
Original problem ID: 40776542
"
27,VPN Tunnel Down [TAHITI - 172.16.0.0/16]: PROBLEM for FW-DC,"[PROBLEM: High]
Host: FW-DC (192.168.200.1)
Name: VPN Tunnel Down [TAHITI - 172.16.0.0/16]
Event: 40776544, Trigger: 170128
Description: IPsec VPN Tunnel Phase 2 is down, please check!
Problem started at 01:11:21 on 2024.02.19
Problem name: VPN Tunnel Down [TAHITI - 172.16.0.0/16]
Host: FW-DC
Severity: High
Operational data: 1
Original problem ID: 40776544
"
28,VPN Tunnel Down [ADM 70 -10.122.16.0/20]: PROBLEM for FW-DC,"[PROBLEM: High]
Host: FW-DC (192.168.200.1)
Name: VPN Tunnel Down [ADM 70 -10.122.16.0/20]
Event: 40776545, Trigger: 170738
Description: IPsec VPN Tunnel Phase 2 is down, please check!
Problem started at 01:11:21 on 2024.02.19
Problem name: VPN Tunnel Down [ADM 70 -10.122.16.0/20]
Host: FW-DC
Severity: High
Operational data: 1
Original problem ID: 40776545
"
29,VPN Tunnel Down [ADM 72 -10.122.16.0/20]: PROBLEM for FW-DC,"[PROBLEM: High]
Host: FW-DC (192.168.200.1)
Name: VPN Tunnel Down [ADM 72 -10.122.16.0/20]
Event: 40776547, Trigger: 170740
Description: IPsec VPN Tunnel Phase 2 is down, please check!
Problem started at 01:11:21 on 2024.02.19
Problem name: VPN Tunnel Down [ADM 72 -10.122.16.0/20]
Host: FW-DC
Severity: High
Operational data: 1
Original problem ID: 40776547
"
30,VPN Tunnel Down [TAHITI - 10.122.16.0/20]: PROBLEM for FW-DC,"[PROBLEM: High]
Host: FW-DC (192.168.200.1)
Name: VPN Tunnel Down [TAHITI - 10.122.16.0/20]
Event: 40776550, Trigger: 170743
Description: IPsec VPN Tunnel Phase 2 is down, please check!
Problem started at 01:11:21 on 2024.02.19
Problem name: VPN Tunnel Down [TAHITI - 10.122.16.0/20]
Host: FW-DC
Severity: High
Operational data: 1
Original problem ID: 40776550
"
31,VPN Tunnel Down [EOS JIRA NET]: PROBLEM for FW-DC,"[PROBLEM: High]
Host: FW-DC (192.168.200.1)
Name: VPN Tunnel Down [EOS JIRA NET]
Event: 40776551, Trigger: 173123
Description: IPsec VPN Tunnel Phase 2 is down, please check!
Problem started at 01:11:21 on 2024.02.19
Problem name: VPN Tunnel Down [EOS JIRA NET]
Host: FW-DC
Severity: High
Operational data: 1
Original problem ID: 40776551
"
32,Unavailable by ICMP ping: PROBLEM for FW-TA,"[PROBLEM: High]
Host: FW-TA (172.20.70.1)
Name: Unavailable by ICMP ping
Event: 40779548, Trigger: 173488
Description: Last three attempts returned timeout.  Please check device connectivity.
Problem started at 01:18:36 on 2024.02.19
Problem name: Unavailable by ICMP ping
Host: FW-TA
Severity: High
Operational data: Down (0)
Original problem ID: 40779548
"
33,Unavailable by ICMP ping: PROBLEM for FW-DC,"[PROBLEM: High]
Host: FW-DC (192.168.200.1)
Name: Unavailable by ICMP ping
Event: 40779620, Trigger: 163764
Description: Last three attempts returned timeout.  Please check device connectivity.
Problem started at 01:19:21 on 2024.02.19
Problem name: Unavailable by ICMP ping
Host: FW-DC
Severity: High
Operational data: Down (0)
Original problem ID: 40779620
"
34,Unavailable by ICMP ping: PROBLEM for Sonde Temperature Nantes,"[PROBLEM: High]
Host: Sonde Temperature Nantes (172.16.44.16)
Name: Unavailable by ICMP ping
Event: 40780144, Trigger: 32343
Description: Last three attempts returned timeout.  Please check device connectivity.
Problem started at 01:19:28 on 2024.02.19
Problem name: Unavailable by ICMP ping
Host: Sonde Temperature Nantes
Severity: High
Operational data: Down (0)
Original problem ID: 40780144
"
